,year,Origen,Destino,Refugiados,Busca_asilo,Rechazados,Desplazamiento_interno,Rechazados_interno
0,2010,Afghanistan,Afghanistan,0,0,0,351907,3366
1,2010,Iran (Islamic Rep. of),Afghanistan,30,21,0,0,0
2,2010,Iraq,Afghanistan,6,0,0,0,0
3,2010,Pakistan,Afghanistan,6398,9,0,0,0
4,2010,Egypt,Albania,5,0,0,0,0
5,2010,China,Albania,6,0,0,0,0
6,2010,Palestinian,Albania,5,0,0,0,0
7,2010,Iraq,Albania,5,0,0,0,0
8,2010,Serbia and Kosovo: S/RES/1244 (1999),Albania,49,20,0,0,0
9,2010,Türkiye,Albania,5,0,0,0,0
10,2010,Angola,Algeria,5,0,0,0,0
11,2010,Benin,Algeria,0,5,0,0,0
12,2010,Chad,Algeria,0,10,0,0,0
13,2010,Cameroon,Algeria,6,92,0,0,0
14,2010,Congo,Algeria,6,5,0,0,0
15,2010,Dem. Rep. of the Congo,Algeria,66,26,0,0,0
16,2010,Palestinian,Algeria,4007,11,0,0,0
17,2010,Guinea,Algeria,0,17,0,0,0
18,2010,Cote d'Ivoire,Algeria,20,47,0,0,0
19,2010,Iraq,Algeria,15,5,0,0,0
20,2010,Liberia,Algeria,5,22,0,0,0
21,2010,Libya,Algeria,6,0,0,0,0
22,2010,Niger,Algeria,0,5,0,0,0
23,2010,Nigeria,Algeria,0,35,0,0,0
24,2010,Somalia,Algeria,5,0,0,0,0
25,2010,Sudan,Algeria,0,20,0,0,0
26,2010,Western Sahara,Algeria,90000,0,0,0,0
27,2010,Burundi,Angola,14,13,0,0,0
28,2010,Central African Rep.,Angola,6,0,0,0,0
29,2010,Chad,Angola,148,61,0,0,0
30,2010,Congo,Angola,45,163,0,0,0
31,2010,Dem. Rep. of the Congo,Angola,13648,1508,0,0,0
32,2010,Eritrea,Angola,6,43,0,0,0
33,2010,Ethiopia,Angola,0,6,0,0,0
34,2010,Guinea-Bissau,Angola,0,17,0,0,0
35,2010,Guinea,Angola,36,78,0,0,0
36,2010,Cote d'Ivoire,Angola,211,1213,0,0,0
37,2010,Liberia,Angola,75,158,0,0,0
38,2010,Mauritania,Angola,83,90,0,0,0
39,2010,Rwanda,Angola,444,8,0,0,0
40,2010,Senegal,Angola,0,10,0,0,0
41,2010,Sierra Leone,Angola,219,462,0,0,0
42,2010,Somalia,Angola,37,53,0,0,0
43,2010,Sudan,Angola,159,212,0,0,0
44,2010,United Rep. of Tanzania,Angola,6,0,0,0,0
45,2010,Western Sahara,Angola,5,0,0,0,0
46,2010,Unknown,Angola,0,133,0,0,0
47,2010,Algeria,Egypt,5,5,0,0,0
48,2010,Angola,Egypt,0,5,0,0,0
49,2010,Burundi,Egypt,41,0,0,0,0
50,2010,Chad,Egypt,22,13,0,0,0
51,2010,China,Egypt,0,11,0,0,0
52,2010,Cameroon,Egypt,0,5,0,0,0
53,2010,Congo,Egypt,0,7,0,0,0
54,2010,Dem. Rep. of the Congo,Egypt,24,14,0,0,0
55,2010,Djibouti,Egypt,5,0,0,0,0
56,2010,Eritrea,Egypt,938,621,0,0,0
57,2010,Ethiopia,Egypt,562,316,0,0,0
58,2010,Palestinian,Egypt,70026,27,0,0,0
59,2010,Guinea,Egypt,0,10,0,0,0
60,2010,Cote d'Ivoire,Egypt,149,121,0,0,0
61,2010,Iraq,Egypt,6772,167,243,0,0
62,2010,Kazakhstan,Egypt,0,5,0,0,0
63,2010,Liberia,Egypt,6,0,0,0,0
64,2010,Libya,Egypt,5,5,0,0,0
65,2010,Mali,Egypt,0,5,0,0,0
66,2010,Nigeria,Egypt,0,5,0,0,0
67,2010,Russian Federation,Egypt,12,29,0,0,0
68,2010,Rwanda,Egypt,17,5,0,0,0
69,2010,Saudi Arabia,Egypt,0,5,0,0,0
70,2010,Serbia and Kosovo: S/RES/1244 (1999),Egypt,8,0,0,0,0
71,2010,Somalia,Egypt,6172,378,12,0,0
72,2010,Sudan,Egypt,10035,12476,251,0,0
73,2010,Syrian Arab Rep.,Egypt,8,0,0,0,0
74,2010,Tajikistan,Egypt,0,14,0,0,0
75,2010,Turkmenistan,Egypt,5,0,0,0,0
76,2010,Tunisia,Egypt,5,0,0,0,0
77,2010,Uganda,Egypt,12,5,0,0,0
78,2010,Uzbekistan,Egypt,5,20,0,0,0
79,2010,Yemen,Egypt,205,9,0,0,0
80,2010,Zimbabwe,Egypt,5,0,0,0,0
81,2010,Stateless,Egypt,0,0,0,0,0
82,2010,Albania,Argentina,27,0,0,0,0
83,2010,Algeria,Argentina,45,0,0,0,0
84,2010,Angola,Argentina,14,0,0,0,0
85,2010,Armenia,Argentina,122,5,0,0,0
86,2010,Burundi,Argentina,6,0,0,0,0
87,2010,Bangladesh,Argentina,9,15,0,0,0
88,2010,Bolivia (Plurinational State of),Argentina,5,0,0,0,0
89,2010,Bosnia and Herzegovina,Argentina,6,0,0,0,0
90,2010,Chile,Argentina,336,0,0,0,0
