Nacionalidad ;Territorio Nacional ;Puesto Fronterizo;Embajada;C.I.E.;
AFGANISTAN;20;12;14; - ;
ALBANIA;6; - ; - ; - ;
ANGOLA;7;9; - ;1;
ARGELIA;174;11; - ;17;
ARGENTINA;4; - ; - ;1;
ARMENIA;10; - ; - ;2;
AZERBAIDYAN;1; - ; - ; - ;
BANGLADESH;27; - ; - ;1;
BENIN;2; - ; - ;1;
BIELORRUSIA;14; - ; - ;2;
BOLIVIA;8;1; - ;2;
BOSNIA HERZEGOVINA; - ; - ; - ;1;
BRASIL;3; - ; - ;1;
BURKINA FASO;10;1; - ; - ;
BURUNDI;1; - ; - ; - ;
CAMERUN;88;25; - ;8;
CHAD;7; - ; - ;1;
CHILE;1;1; - ; - ;
CHINA;5; - ; - ; - ;
COLOMBIA;42;12; - ;6;
COMORAS; - ;2; - ; - ;
CONGO;8;15;2;3;
COSTA DE MARFIL;87;2;7;13;
COSTA RICA; - ;1; - ; - ;
CROACIA;1; - ; - ; - ;
CUBA;41;2;20;1;
ECUADOR;1;1; - ; - ;
EGIPTO;12;14;5;3;
EL SALVADOR;33;2; - ;1;
ERITREA;20;2;1; - ;
ESTADOS UNIDOS DE AMERICA;2; - ; - ; - ;
ETIOPIA;38; - ; - ; - ;
FRANCIA; - ;1; - ; - ;
GABON;1; - ; - ; - ;
GAMBIA;12;11; - ;2;
GEORGIA;8;1; - ; - ;
GHANA;13;3; - ;2;
GUATEMALA;8; - ; - ; - ;
GUINEA;60;10; - ;3;
GUINEA BISSAU;7;1; - ; - ;
GUINEA ECUATORIAL;11; - ; - ;1;
HAITI;3; - ; - ; - ;
HONDURAS;39;1; - ;1;
INDIA;10; - ; - ; - ;
IRAN;52;7; - ; - ;
IRAQ;14;1;5; - ;
JAMAICA;1; - ; - ; - ;
JORDANIA;6; - ;8; - ;
KAZAJSTAN;3; - ; - ; - ;
KENIA;1; - ; - ; - ;
LIBANO;3; - ;1; - ;
LIBERIA;4;1; - ; - ;
LIBIA;13;3; - ;1;
MACEDONIA;2; - ; - ; - ;
MALAWI;9; - ; - ; - ;
MALI;88;7;1;3;
MARRUECOS;37;4; - ;11;
MAURITANIA;7;1; - ;2;
MEXICO;15;2; - ; - ;
MOLDAVIA; - ; - ; - ;1;
MONGOLIA;3; - ; - ; - ;
MONTENEGRO; - ; - ; - ;1;
NEPAL;1; - ; - ; - ;
NICARAGUA;6; - ; - ; - ;
NIGER;10; - ; - ; - ;
NIGERIA;150;36; - ;17;
NO RECO. (PALESTINA);31;24;23; - ;
NO RECON. (SAHARA);39;1; - ;8;
PAKISTAN;62;19;11;5;
PANAMA;1;1; - ; - ;
PARAGUAY;4; - ; - ; - ;
PERU;4;1; - ; - ;
REPUBLICA CENTROAFRICANA ;9; - ; - ;1;
R.D.CONGO;44;27;2;5;
REPUBLICA DOMINICANA ;1;1; - ;1;
RUANDA;1; - ; - ;1;
RUSIA;31;1; - ;4;
SENEGAL;19;3; - ;4;
SERBIA;2; - ; - ; - ;
SIERRA LEONA;13; - ; - ;1;
SIRIA;159;85; - ;10;
SOMALIA;27;4;64;3;
SRI LANKA;8;9;18; - ;
SUDAFRICA;1; - ; - ; - ;
SUDAN;37;7; - ;1;
TOGO;6;1; - ; - ;
TRINIDAD TOBAGO;1; - ; - ; - ;
TUNEZ;3; - ; - ;1;
TURKMENISTAN;1; - ; - ; - ;
TURQUIA;9;13; - ; - ;
UCRANIA;19; - ; - ;2;
UGANDA;5; - ; - ; - ;
UZBEKISTAN;4; - ; - ; - ;
VENEZUELA;24;1; - ;3;
YEMEN;1; - ;4; - ;
ZAMBIA;1; - ; - ; - ;
ZIMBABWE;4; - ; - ; - ;
Total;1.841;401;186;160;
