Provincia ;Solicitantes
A CORUÑA;7
ALBACETE;8
ALICANTE;33
ALMERIA;4
ARABA;8
ASTURIAS;9
BALEARES;12
BARCELONA;200
BIZKAIA;62
BURGOS;6
CACERES;2
CADIZ;51
CANTABRIA;19
CASTELLON;1
CEUTA;184
CORDOBA;26
GERONA;3
GIPUZKOA;8
GRANADA;15
GUADALAJARA;3
HUELVA;1
LA RIOJA;1
LAS PALMAS;33
LEON;3
LUGO;1
MADRID;1.280
MALAGA;58
MELILLA;33
MURCIA;13
NAVARRA;5
PALENCIA;2
PONTEVEDRA;2
SALAMANCA;1
SEGOVIA;1
SEVILLA;60
SORIA;2
TARRAGONA;3
TENERIFE;6
VALENCIA;151
ZARAGOZA;5
Total ;2.322
